"emp_no","first_name","last_name","birth_date","title"
10001,"Georgi","Facello","1953-09-02","Senior Engineer"
10004,"Chirstian","Koblick","1954-05-01","Senior Engineer"
10005,"Kyoichi","Maliniak","1955-01-21","Senior Staff"
10006,"Anneke","Preusig","1953-04-20","Senior Engineer"
10009,"Sumant","Peac","1952-04-19","Senior Engineer"
10018,"Kazuhide","Peha","1954-06-19","Senior Engineer"
10019,"Lillian","Haddadi","1953-01-23","Staff"
10020,"Mayuko","Warwick","1952-12-24","Engineer"
10022,"Shahaf","Famili","1952-07-08","Engineer"
10023,"Bojan","Montemayor","1953-09-29","Engineer"
